"ID","Incident Time","Source","Policies","Channel","Destination","Severity","Action","Maximum Matches","Transaction Size (KB)","Status",
"1265661","21 Aug. 2020, 10:30:20 PM GMT+0530","piyushgurnule","Source code","Endpoint application (File Access)","Firefox","Medium","Permitted","24","11202.6","New",
"1265283","21 Aug. 2020, 10:30:20 PM GMT+0530","prateekvarshney","Slovakia PII","Endpoint HTTPS","log.quora.com","Medium","Permitted","2","0.4","New",
"1265280","21 Aug. 2020, 10:30:17 PM GMT+0530","prateekvarshney","Slovakia PII","Endpoint HTTPS","log.quora.com","Medium","Permitted","1","1.3","New",
"1265277","21 Aug. 2020, 10:30:15 PM GMT+0530","prateekvarshney","Slovakia PII","Endpoint HTTPS","www.quora.com","Medium","Permitted","1","0.7","New",
"1265274","21 Aug. 2020, 10:30:12 PM GMT+0530","prateekvarshney","Croatia PII","Endpoint HTTPS","www.quora.com","Medium","Permitted","1","16.4","New",
"1265271","21 Aug. 2020, 10:30:12 PM GMT+0530","it","Poland PII","Endpoint HTTPS","logging.prefixbox.com","High","Permitted","3","7.1","New",
"1265268","21 Aug. 2020, 10:30:12 PM GMT+0530","prateekvarshney","Slovakia PII","Endpoint HTTPS","log.quora.com","Medium","Permitted","1","0.9","New",
"1265471","21 Aug. 2020, 10:30:00 PM GMT+0530","ankitkumar","Source code","Endpoint application (File Access)","OneDrive","Medium","Permitted","2","328.1","New",
"1265468","21 Aug. 2020, 10:29:59 PM GMT+0530","varunnaik","Poland PII","Endpoint HTTPS","fls-eu.amazon.in","Medium","Permitted","2","52.7","New",
"1265464","21 Aug. 2020, 10:29:58 PM GMT+0530","ankitkumar","Source code","Endpoint application (File Access)","OneDrive","Medium","Permitted","1","799.7","New",
"1265591","21 Aug. 2020, 10:29:39 PM GMT+0530","prateekvarshney","Slovakia PII; Croatia PII","Endpoint HTTPS","www.quora.com","Medium","Permitted","2","37.5","New",
"1265529","21 Aug. 2020, 10:29:16 PM GMT+0530","piyushgurnule","Database Dumps/Backup Files; Source code","Endpoint application (File Access)","Firefox","Medium","Permitted","4","27320.4","New",
"1265332","21 Aug. 2020, 10:27:47 PM GMT+0530","piyushgurnule","Slovakia PII","Endpoint HTTPS","www.facebook.com","Medium","Permitted","1","39.4","New",
"1265262","21 Aug. 2020, 10:27:36 PM GMT+0530","ts","Croatia PII","Endpoint HTTPS","fls-eu.amazon.in","Medium","Permitted","1","39.3","New",
"1265455","21 Aug. 2020, 10:27:02 PM GMT+0530","ts","Croatia PII","Endpoint HTTPS","fls-eu.amazon.in","Medium","Permitted","1","61.1","New",
"1265452","21 Aug. 2020, 10:27:02 PM GMT+0530","ts","Croatia PII","Endpoint HTTPS","www.amazon.in","Medium","Permitted","1","60.9","New",
